pathway_id,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
pathways_699,128,entrance_667,32,
pathways_700,entrance_667,A28,80,
pathways_701,A28,entrance_667,80,
pathways_702,entrance_668,128,36,
pathways_703,128,entrance_668,36,
pathways_704,entrance_668,A28,84,
pathways_705,A28,entrance_668,84,
pathways_706,entrance_669,128,46,
pathways_707,128,entrance_669,46,
pathways_708,entrance_669,A28,69,
pathways_709,A28,entrance_669,69,
pathways_710,entrance_670,128,35,
pathways_711,128,entrance_670,35,
pathways_712,entrance_670,A28,82,
pathways_713,A28,entrance_670,82,
pathways_714,entrance_671,127,70,
pathways_715,127,entrance_671,70,
pathways_716,entrance_671,725,67,
pathways_717,725,entrance_671,67,
pathways_718,entrance_671,902,85,
pathways_719,902,entrance_671,85,
pathways_720,entrance_671,A27,61,
pathways_721,A27,entrance_671,61,
pathways_722,entrance_671,R16,83,
pathways_723,R16,entrance_671,83,
pathways_724,entrance_672,127,70,
pathways_725,127,entrance_672,70,
pathways_726,entrance_672,725,66,
pathways_727,725,entrance_672,66,
pathways_728,entrance_672,902,84,
pathways_729,902,entrance_672,84,
pathways_730,entrance_672,A27,58,
pathways_731,A27,entrance_672,58,
pathways_732,entrance_672,R16,83,
pathways_733,R16,entrance_672,83,
pathways_734,entrance_673,128,41,
pathways_735,128,entrance_673,41,
pathways_736,entrance_673,A28,76,
pathways_737,A28,entrance_673,76,
pathways_738,entrance_674,128,46,
pathways_739,128,entrance_674,46,
pathways_740,entrance_674,A28,75,
pathways_741,A28,entrance_674,75,
pathways_742,entrance_675,127,84,
pathways_743,127,entrance_675,84,
pathways_744,entrance_675,725,79,
pathways_745,725,entrance_675,79,
pathways_746,entrance_675,902,86,
pathways_747,902,entrance_675,86,
pathways_748,entrance_675,A27,34,
pathways_749,A27,entrance_675,34,
pathways_750,entrance_675,R16,34,
pathways_751,R16,entrance_675,34,
pathways_752,entrance_676,127,78,
pathways_753,127,entrance_676,78,
pathways_754,entrance_676,725,73,
pathways_755,725,entrance_676,73,
pathways_756,entrance_676,902,80,
pathways_757,902,entrance_676,80,
pathways_758,entrance_676,A27,31,
pathways_759,A27,entrance_676,31,
pathways_760,entrance_676,R16,31,
pathways_761,R16,entrance_676,31,
pathways_762,entrance_677,127,89,
pathways_763,127,entrance_677,89,
pathways_764,entrance_677,725,84,
pathways_765,725,entrance_677,84,
pathways_766,entrance_677,902,87,
pathways_767,902,entrance_677,87,
pathways_768,entrance_677,A27,42,
pathways_769,A27,entrance_677,42,
pathways_770,entrance_677,R16,42,
pathways_771,R16,entrance_677,42,
pathways_772,entrance_678,D17,48,
pathways_773,D17,entrance_678,48,
pathways_774,entrance_678,R17,51,
pathways_775,R17,entrance_678,51,
pathways_776,entrance_679,D17,53,
pathways_777,D17,entrance_679,53,
pathways_778,entrance_679,R17,56,
pathways_779,R17,entrance_679,56,
pathways_780,entrance_680,127,44,
pathways_781,127,entrance_680,44,
pathways_782,entrance_680,725,47,
pathways_783,725,entrance_680,47,
pathways_784,entrance_680,902,64,
pathways_785,902,entrance_680,64,
pathways_786,entrance_680,A27,89,
pathways_787,A27,entrance_680,89,
pathways_788,entrance_680,R16,43,
pathways_789,R16,entrance_680,43,
pathways_790,entrance_681,127,36,
